fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
8.38895	0.02413	6.81066	6.21163	6.15065	5.31462	6.58552	1.60643
9.33948	0.02422	6.86185	6.1245	6.16274	5.77146	6.79962	1.67779
7.93843	0.02132	6.30733	5.86435	5.94373	4.96509	5.99122	1.44225
10.05695	0.02393	5.80271	4.61105	4.01514	2.91435	2.97517	0.5699
16.11448	0.03915	8.75383	7.44939	7.82687	6.08456	6.61411	1.50076
8.06935	0.02259	6.40329	5.79157	5.64462	4.37824	4.94477	1.25201
7.90254	0.02089	5.68473	5.05671	5.31797	4.58466	4.38912	1.05985
7.30115	0.02285	6.16411	5.63837	5.76414	4.69624	5.41533	1.30629
9.3962	0.02392	6.81843	5.97775	5.88275	4.60678	5.39013	1.27486
13.7651	0.02959	7.61863	5.82184	5.31799	3.74339	3.77438	0.87723
5.84512	0.01465	4.17869	3.66684	3.31487	2.61406	2.79696	0.57644
3.8482	0.01269	3.41264	2.98733	2.76905	2.07132	2.01964	0.41468
8.68265	0.0229	5.23432	4.15959	3.85111	3.01105	3.25718	0.73628
19.5362	0.03947	7.47783	5.05368	4.57621	3.49227	3.83428	0.91023
5.27806	0.01474	4.06639	3.45735	3.14916	2.42716	2.73757	0.6936
6.45798	0.01549	4.03239	3.31695	3.2203	2.52467	2.44617	0.58178
14.53501	0.03041	7.17144	5.35535	5.10943	3.87899	4.76525	0.99603
5.58226	0.01359	4.09571	3.58961	3.36548	2.56187	3.00427	0.64107
9.79957	0.02199	5.15793	3.79911	3.1688	2.33993	2.42023	0.47313
4.37583	0.01104	3.14994	2.50768	2.1751	1.60441	1.81769	0.40213
4.87723	0.0146	3.99495	3.68495	3.7302	2.95701	3.37055	0.8018
4.84804	0.01382	3.7569	3.16979	3.02139	2.40594	2.7501	0.58317
10.55017	0.0219	5.54718	4.4094	4.29802	3.43788	4.30938	1.03276
7.67669	0.01841	4.53529	3.40489	3.24986	2.80296	3.22869	0.66349
9.18785	0.02009	4.8015	3.85897	3.87615	3.39563	3.959	0.9723
4.18573	0.01253	3.52137	3.12555	2.92833	2.39607	2.69527	0.58734
4.14354	0.01195	3.33542	2.87593	2.55685	1.94151	1.97695	0.42143
22.12452	0.03824	6.53123	3.96815	3.56055	2.81107	2.89423	0.79645
5.02905	0.01737	4.50829	3.9787	4.00156	3.25816	3.83595	0.85166
7.62054	0.0222	5.91366	5.51018	5.87225	4.55073	5.36415	1.15456
6.34188	0.02129	5.30003	4.83766	4.85135	3.74413	4.06505	0.95463
5.53953	0.0145	4.02436	3.44717	3.30612	2.7072	2.72978	0.60149
6.4234	0.01826	5.09713	4.50313	4.43586	3.46118	3.79116	0.91262
4.94502	0.0143	3.82808	3.44384	3.53009	3.15992	4.18793	1.07048
5.57094	0.01601	4.6212	4.07869	4.19911	3.58886	4.41149	0.9191
6.0366	0.01334	3.64012	2.90565	2.55874	1.76941	1.87867	0.39343
4.66698	0.01362	3.87404	3.45355	3.33235	2.6325	3.10302	0.64532
4.47425	0.01196	3.53392	3.13045	2.91711	2.22959	2.40979	0.55806
8.70861	0.02194	4.7929	3.75503	3.69122	3.0025	3.86575	0.82714
4.82447	0.01428	3.92019	3.45863	3.33551	2.63542	2.91032	0.58808
12.82902	0.02774	5.76988	4.42571	4.53963	3.83481	4.8324	1.13637
16.6577	0.03102	5.96409	3.8968	3.43424	2.74097	3.45395	0.77362
5.53724	0.01538	4.23736	3.73814	3.84245	3.05876	3.28786	0.70029
4.7206	0.01589	4.09916	3.77009	3.64165	3.00656	3.5498	0.75229
6.10889	0.02032	5.28441	4.95524	5.26671	4.77234	5.62064	1.36549
13.28309	0.03228	6.44385	4.19154	3.38015	2.70817	3.02912	0.64208
4.30928	0.01184	3.37348	2.80887	2.466	1.74579	1.89749	0.40114
6.10239	0.01677	4.74366	4.19262	4.27337	3.36313	4.14099	0.93489
10.18399	0.02743	7.57469	7.81576	8.71407	7.82775	9.9145	2.49968
6.76746	0.02014	4.98165	4.24683	3.9448	3.0588	3.37896	0.71396
16.91816	0.03922	6.84603	4.72965	4.28941	3.27135	3.79707	0.78968
5.99768	0.01667	4.62725	4.38909	5.08913	4.42812	4.82708	1.29733
4.84273	0.01525	4.1514	3.71663	3.85161	3.57278	3.97631	0.98818
9.94127	0.0249	5.08481	3.70673	3.12698	2.2648	2.40619	0.49709
4.85172	0.01402	3.79032	3.21663	2.912	2.39718	2.64783	0.63986
17.57755	0.03513	5.95808	3.73271	3.06309	2.16741	2.12239	0.45729
7.38272	0.01934	5.184	4.52718	4.4714	3.6456	4.12562	0.97995
8.2293	0.01798	4.61007	3.74765	3.59438	2.94635	3.63936	1.02082
16.48103	0.03637	7.57364	5.54924	5.3904	4.59573	4.71949	1.18062
16.28744	0.03587	7.30739	4.94633	4.16713	3.08426	2.87709	0.62371
10.05922	0.02524	6.47299	4.9859	4.72762	3.62333	3.99459	0.92963
9.84286	0.02377	5.54239	4.17207	3.72965	2.90797	3.2509	0.76252
5.78285	0.01498	4.51896	3.95857	3.82976	3.20422	3.68143	0.9266
9.31348	0.02307	4.766	3.61788	3.52637	2.87051	3.48692	0.79922
4.58789	0.01365	3.63089	3.32004	3.44326	2.94053	3.21365	0.83515
4.55781	0.01399	3.94839	3.5406	3.43046	2.8222	3.07898	0.77092
32.05265	0.07734	8.94669	4.78852	3.52529	2.47741	2.48479	0.57727
8.35368	0.02236	5.63786	4.49811	4.17461	3.26026	3.62677	0.75678
11.41338	0.0242	5.86857	4.53503	3.99081	2.97375	3.34813	0.75741
4.52533	0.01292	3.70166	3.27677	3.19357	2.66568	3.18134	0.74405
