fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.65888	3.32712	2.99956	4.41444	5.30542	7.18648	6.91492
0.79293	4.38068	3.6971	5.12746	5.65474	7.25899	7.03763
0.54981	3.00988	2.64307	4.13286	5.17487	6.69678	6.95959
0.49876	2.89909	2.77027	4.11407	4.97483	6.59016	6.7232
0.6454	3.40942	3.04097	4.34726	5.15138	6.73495	6.80073
0.5284	3.0218	2.67729	3.97761	4.79505	6.30802	6.66985
0.55285	3.0978	2.70133	4.02353	5.08621	6.96038	7.07997
0.93972	4.78575	3.96975	5.885	6.13651	7.06174	6.85682
0.68344	3.60469	3.19805	4.38037	5.117	6.7271	6.9132
0.68263	3.694	3.19065	4.675	5.69239	7.43443	7.26097
0.5953	3.63511	3.17782	4.42438	4.93638	6.44349	6.81021
0.42655	2.1754	2.04747	3.10685	4.09908	5.88136	6.63635
0.46672	2.72111	2.66508	4.00044	4.70253	6.34339	6.81504
0.44108	2.12704	1.92971	2.90398	3.86849	5.61667	6.59375
0.46724	2.45918	2.22635	3.40603	4.6021	6.37143	6.68912
0.44389	2.40183	2.19999	3.42293	4.38068	5.86396	6.4985
0.53495	3.00688	2.65234	3.66482	4.46425	6.047	6.70792
0.48528	2.62399	2.28596	3.21283	4.14686	6.05252	6.75387
0.73005	4.14187	3.61645	4.89491	5.66467	7.26359	6.81683
0.59497	3.47442	3.05537	4.33707	5.02383	6.58388	6.6706
0.54294	3.03453	2.65736	3.87854	4.89474	6.53553	6.80565
0.48255	2.81365	2.35938	3.56141	4.37591	6.09058	6.62268
0.59054	3.40707	2.92583	4.03074	4.81647	6.43773	6.60775
0.5755	3.01448	2.52433	3.64604	4.39973	5.92758	6.69652
0.5586	2.96019	2.6464	3.66838	4.32286	5.80328	6.54267
0.75124	3.85968	3.28716	4.46621	4.9708	6.42594	6.68365
0.49673	3.1034	2.73224	3.77144	4.57005	6.18002	6.61703
0.67408	3.78701	3.3299	4.66874	5.18814	6.79238	6.84621
0.7439	3.9741	3.54283	5.00693	5.4848	6.86428	6.94824
0.439	2.44509	2.41642	3.66027	4.73618	6.52303	6.82216
0.67749	3.61755	3.17839	4.60139	5.11896	6.48793	6.72198
0.85551	4.80971	4.45445	6.11919	6.10808	7.26716	6.86076
0.58195	2.86244	2.44071	3.55695	4.60573	6.23474	6.54028
0.95525	4.83965	4.13733	5.40751	5.58988	6.83519	6.61353
0.63807	3.41543	3.12653	4.27869	4.99255	6.40812	6.70984
0.70611	3.85916	3.32884	4.5573	5.33874	6.85838	7.0202
0.68514	3.60023	3.03534	4.48457	5.02007	6.4391	6.66093
0.5086	3.11501	2.74958	3.76739	4.41374	5.92273	6.583
0.72789	3.5983	3.27666	4.41482	4.88123	6.37353	6.81549
0.56473	2.91264	2.52281	3.79971	4.98525	6.75254	6.64004
0.70723	3.95256	3.64541	5.03716	5.85573	7.17746	6.74918
0.48179	2.79755	2.29984	3.46475	4.5977	6.52973	6.67265
0.53245	2.71828	2.44811	3.4525	4.21896	5.72601	6.40452
0.63242	3.58481	3.0774	4.44272	4.85845	6.21848	6.66556
0.46945	2.79904	2.524	3.59272	4.46299	6.38679	6.79838
0.69732	3.67391	3.30907	4.64831	5.31795	6.55441	6.57831
0.60198	3.45204	3.04988	4.1651	4.59281	6.42166	6.85785
0.60394	3.27038	2.82361	4.16952	4.93315	6.39225	6.72494
0.98919	5.2815	4.53625	5.98859	5.87027	6.93719	6.77922
0.8506	4.21675	3.4384	4.5768	5.22955	7.06206	7.05378
0.61616	3.45802	3.09176	4.48708	4.96964	6.431	6.58745
0.60403	3.42826	3.10323	4.32374	5.00088	6.38109	6.44735
1.1072	5.94342	5.09188	6.42853	6.30073	6.9074	6.52572
1.03742	6.13214	5.09328	6.70808	6.12535	6.47837	6.63452
0.98158	4.90117	3.95556	5.32332	5.37854	6.48064	6.60234
0.702	3.18774	2.76477	3.8809	4.60067	6.01932	6.48434
0.74174	3.65699	3.12743	4.48977	5.15287	6.56784	6.65001
0.43295	2.16956	2.02726	3.00955	3.84159	5.61991	6.50403
0.35476	2.17162	1.97689	3.07632	4.14834	5.66269	6.33973
0.53992	2.98681	2.66964	3.68231	4.29061	5.82049	6.5213
0.53662	3.3105	2.99959	4.25043	5.13901	6.68076	6.90141
0.43673	2.65663	2.35934	3.36993	4.08395	5.60375	6.36668
0.48118	2.63076	2.55868	3.68406	4.50391	5.85973	6.44866
0.63008	3.65146	3.20724	4.28861	4.45208	5.88389	6.3691
0.48632	3.01887	2.56181	3.65576	4.32185	5.70007	6.46412
0.59054	3.00598	2.5981	3.58227	4.21351	5.6874	6.40724
0.52901	2.83312	2.49728	3.48677	4.10534	5.60959	6.36397
0.55438	2.67293	2.42292	3.60872	4.42123	6.15215	6.57998
0.49116	2.79303	2.41699	3.47113	4.31266	5.70887	6.37916
0.71963	4.03453	3.31471	4.40154	4.86733	6.31989	6.73992
0.81886	4.12598	3.40225	4.24752	4.93264	6.23294	6.50859
1.14577	4.90972	4.40223	5.54286	5.2114	6.16986	6.59015
0.7672	4.09863	3.59428	4.98625	5.47001	6.72052	6.65449
0.99547	5.01084	4.29078	5.56408	6.13293	7.10264	6.67653
0.88963	4.27936	3.65407	5.08605	6.00027	7.324	6.84927
0.7502	4.34279	3.65242	4.65221	5.3166	6.46257	6.60482
1.16294	6.59504	5.82601	7.53201	7.56784	8.23537	6.91467
0.84974	4.90365	4.1384	5.6011	5.88878	7.03469	6.70737
0.99594	4.72145	4.13161	5.59871	5.78312	6.80691	6.73114
1.06158	4.81802	3.83798	4.94691	5.25901	6.43941	6.48849
0.83851	4.62836	3.79718	5.01033	5.5764	6.83766	6.79643
0.53843	2.7479	2.45927	3.51933	4.17957	5.754	6.30692
0.55797	2.61512	2.55593	3.64288	4.23154	5.78412	6.27835
0.6299	3.10134	2.76701	3.93927	4.4604	5.79994	6.37016
0.77416	4.30835	4.0381	5.34704	5.98647	6.8157	6.6408
0.65478	3.45872	2.88418	3.89559	4.42735	5.88542	6.33536
0.8033	3.81369	3.28161	4.49202	4.78646	6.00975	6.3381
0.52656	3.25993	2.96372	4.02889	4.59239	5.73352	6.23011
0.58979	3.63615	3.18343	4.35046	4.53752	5.82587	6.33734
0.63845	3.04929	2.46755	3.29427	3.97173	5.47512	6.22697
0.67587	3.71676	3.10837	4.03905	4.44446	5.50194	6.28234
0.56706	2.7838	2.31351	3.33635	4.29365	5.85843	6.63306
0.58571	2.82328	2.47046	3.34981	4.23481	5.78858	6.47773
0.54607	2.75445	2.35715	3.25341	3.96617	5.61914	6.29195
0.65365	3.28375	2.73927	3.62135	4.18229	5.68203	6.21903
0.63299	3.73165	3.0701	3.98479	4.6076	6.31044	6.419
0.68379	3.43165	3.03254	4.13433	4.64684	5.74971	6.24764
0.62991	3.53824	3.08176	4.4521	4.91674	6.17182	6.40252
0.73737	4.05074	3.42034	4.52016	4.9836	6.23444	6.42846
0.63904	3.15839	2.84171	3.83754	4.36573	5.83331	6.47803
0.50863	2.80471	2.48159	3.57148	4.33636	5.84129	6.40088
