fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
3.89157	0.02203	2.28019	1.55795	1.3285	1.09301	1.20778	0.48604
2.9292	0.01496	1.84241	1.22745	1.10444	0.81591	0.66193	0.2554
2.85833	0.01525	1.7755	1.13813	0.84343	0.58351	0.50734	0.27488
2.80773	0.01412	1.71638	1.22307	1.14287	0.83118	0.58976	0.28175
2.01203	0.01244	1.52383	1.15708	1.13636	0.86378	0.62024	0.2127
3.25827	0.01937	1.87305	1.25083	1.05253	0.68627	0.65645	0.2752
3.13078	0.01865	2.01701	1.45659	1.31565	1.03813	1.07925	0.57026
2.65775	0.01669	1.92217	1.34645	1.20793	1.00504	0.78671	0.35066
3.38639	0.02171	2.37169	1.73989	1.57554	1.15787	1.12515	0.48688
3.62331	0.02131	2.22491	1.61596	1.63703	1.31606	1.34952	0.65993
3.05019	0.01838	2.1183	1.56027	1.40092	1.04685	0.85227	0.3759
5.2753	0.0312	3.07558	1.80466	1.62393	1.27544	1.13527	0.55049
4.10046	0.02	2.11404	1.35106	1.10798	0.90147	0.78729	0.39667
3.72078	0.01913	2.12017	1.4321	1.14886	0.88758	0.81214	0.42959
4.4683	0.02063	2.27148	1.40295	1.13627	0.84593	0.6607	0.31258
2.85985	0.01673	1.9377	1.42812	1.41955	1.17142	1.13381	0.41329
2.75004	0.0164	1.77012	1.19522	1.0453	0.80594	0.76703	0.36075
2.95911	0.01689	1.99252	1.36338	1.09748	0.82471	0.77833	0.3315
3.63228	0.02307	2.24221	1.51469	1.36654	1.01221	0.8049	0.37628
2.71277	0.01519	1.85034	1.36536	1.20946	0.91267	0.87543	0.40015
6.88421	0.03705	3.00542	1.62897	1.47748	1.06457	0.99462	0.34186
4.0811	0.02175	2.33037	1.66071	1.53734	1.31005	1.23793	0.55901
2.83933	0.0172	2.09361	1.79841	2.0691	1.86271	1.80077	0.67174
5.50713	0.03154	2.36552	1.39849	1.10175	0.80698	0.68605	0.36397
7.16888	0.03793	2.70112	1.3075	0.90278	0.54733	0.55454	0.1934
8.96767	0.04609	3.09556	1.50626	1.08973	0.66791	0.58379	0.26506
4.35697	0.02359	2.14676	1.20545	0.90575	0.65108	0.69746	0.32833
2.94645	0.01779	2.02052	1.53048	1.51565	1.25318	1.339	0.57945
2.59892	0.0146	1.77285	1.18339	1.10685	0.90279	1.01996	0.49595
3.82108	0.02256	2.17384	1.47455	1.30093	0.95935	1.04009	0.53634
3.70965	0.02166	2.33565	1.52907	1.25781	0.9548	0.89681	0.40461
