fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.32597	1.1141	1.1246	1.56986	2.00268	2.84489	2.52464
0.25746	0.88028	0.87239	1.35963	1.94897	3.00878	2.54734
0.23856	0.80928	0.77008	1.18748	1.69241	2.85925	2.5318
0.2157	0.74947	0.85109	1.22523	1.7442	2.7963	2.50629
0.15069	0.55858	0.67783	1.11687	1.76291	2.81694	2.51402
0.21614	0.71644	0.84875	1.27572	1.93661	3.02932	2.67767
0.29778	0.92236	0.95944	1.27508	1.95732	2.91387	2.6237
0.17245	0.58547	0.71648	1.08953	1.55858	2.70736	2.44386
0.34891	1.18797	1.08535	1.52245	1.99106	2.96704	2.61505
0.18136	0.57957	0.73936	1.0683	1.78054	3.00036	2.62841
0.14951	0.52241	0.66501	1.05847	1.61021	2.69972	2.48844
0.24611	0.81509	0.93689	1.35338	1.85935	2.77488	2.5759
0.21865	0.76646	0.8305	1.19079	1.79258	2.76342	2.5172
0.3508	1.1063	1.07611	1.43515	2.05399	3.08438	2.665
0.21918	0.65751	0.75014	1.07701	1.61829	2.67768	2.53174
0.19434	0.63011	0.70862	1.12725	1.81164	2.88446	2.63603
0.24061	0.71187	0.87765	1.34957	1.93914	2.92823	2.56359
0.17523	0.55029	0.60317	0.89293	1.42808	2.49887	2.36936
0.30884	0.79379	0.96839	1.31584	1.74927	2.72594	2.55212
0.33564	0.96006	1.0115	1.33197	1.90273	2.90865	2.55219
0.19952	0.5596	0.77432	1.14588	1.88533	2.98844	2.6199
0.26764	0.91878	0.96822	1.38499	1.89801	2.91607	2.52201
0.20997	0.61709	0.697	1.06819	1.71843	2.81961	2.54418
0.31911	1.18314	1.13714	1.4718	1.85729	2.69816	2.38926
0.30531	1.03543	1.05757	1.51344	2.12499	3.23394	2.59751
0.19003	0.77446	0.86567	1.2498	1.78709	2.87504	2.57165
0.25404	0.82768	0.88805	1.17736	1.78802	2.69869	2.49928
0.26091	0.73036	0.91492	1.41449	1.93006	2.90798	2.61445
0.31571	0.83761	0.95863	1.35934	1.94074	2.98526	2.56319
0.15124	0.45235	0.58885	0.90211	1.52676	2.5888	2.47637
0.16541	0.50306	0.59276	0.90197	1.52834	2.50574	2.37207
0.22241	0.74486	0.76699	1.16021	1.7324	2.83785	2.65969
0.21318	0.65997	0.83082	1.11591	1.70158	2.80099	2.52288
0.2272	0.66802	0.76131	1.10145	1.67983	2.82471	2.57157
0.20127	0.60664	0.65531	1.02486	1.62966	2.74162	2.54525
0.262	0.79505	0.91592	1.37634	1.94245	2.77201	2.45813
0.19539	0.57213	0.58893	0.98286	1.61126	2.5792	2.49208
0.19963	0.60877	0.65698	0.97858	1.6296	2.74114	2.39382
0.45328	1.2629	1.30724	1.77357	2.06557	2.95926	2.50095
0.29267	0.82185	0.86907	1.20822	1.91574	2.96492	2.51262
0.42827	1.22185	1.18118	1.53353	2.08839	3.12347	2.61314
0.37469	0.92543	1.02965	1.47317	2.18669	3.23836	2.58059
0.27659	0.9482	0.94536	1.30184	1.78034	2.82672	2.4824
0.27836	0.79557	0.87137	1.18241	1.71555	2.79425	2.53978
0.22668	0.70456	0.77334	1.11123	1.59101	2.60086	2.46951
0.1887	0.50909	0.59121	0.89029	1.58771	2.65831	2.4757
0.25497	0.76349	0.72919	1.11445	1.69958	2.64229	2.48147
0.25563	0.84815	0.99128	1.44193	1.86907	2.74999	2.494
0.22334	0.66454	0.73529	1.11128	1.79713	2.85288	2.52177
0.34661	1.2297	1.19952	1.70141	2.05653	2.82287	2.50011
0.39793	1.33251	1.27495	1.7287	2.16252	3.12403	2.66354
0.27434	0.82538	0.90461	1.39138	2.14112	3.09618	2.67408
0.20801	0.63172	0.74053	1.12616	1.81552	2.92015	2.57129
0.26792	0.8766	0.96161	1.34066	1.95469	2.94488	2.54741
0.38995	1.25597	1.21116	1.64893	2.19989	3.18555	2.62645
0.38075	1.25197	1.18639	1.66852	2.00903	2.8093	2.42049
0.19222	0.55332	0.68176	1.03675	1.75822	2.91074	2.55704
0.24918	0.83148	0.93947	1.34507	2.05818	3.05991	2.65476
0.22852	0.60716	0.73809	1.15514	1.85984	3.02431	2.62095
0.30092	0.96245	0.98598	1.47248	1.91356	2.94221	2.55038
0.38825	1.07355	1.23501	1.65698	2.21499	3.13122	2.63885
0.24765	0.61036	0.85972	1.2917	1.98973	2.99003	2.55486
0.21269	0.60441	0.79173	1.10525	1.65158	2.77835	2.55391
0.2471	0.73979	0.9562	1.2734	1.75221	2.71095	2.52233
0.24137	0.80635	0.94935	1.38281	1.85141	2.83691	2.48871
0.23924	0.80074	0.82514	1.20842	1.74456	2.89086	2.54041
0.3568	1.16535	1.15216	1.52628	1.97392	2.81848	2.51058
0.36827	1.21098	1.26959	1.62961	2.13687	3.14648	2.63429
0.42397	1.4616	1.44295	2.04921	2.45166	3.08871	2.59371
0.50327	1.43726	1.39975	1.76184	2.10599	2.89845	2.53356
0.25971	0.86365	0.97315	1.48109	1.96074	2.96921	2.52008
0.42844	1.42567	1.44058	1.93886	2.35569	3.21661	2.66587
0.29433	0.90942	1.01526	1.35439	1.92374	2.90857	2.58817
0.30862	1.042	1.09192	1.54252	1.87191	2.76171	2.48345
0.24126	0.74891	0.82381	1.27623	1.89287	2.92486	2.64378
0.34883	0.97552	1.11528	1.60816	2.03192	3.02446	2.53063
0.24318	0.80244	0.87722	1.18612	1.80605	2.961	2.65769
0.3032	0.82233	0.90912	1.32532	1.94655	2.97985	2.55497
0.29555	0.87026	0.90402	1.27429	1.90818	3.01933	2.57419
0.29855	0.8118	0.85527	1.22053	1.7952	2.95046	2.5705
0.29904	0.81205	1.00248	1.47277	2.08221	3.22964	2.58563
0.3609	1.13663	1.40308	1.8191	2.34047	3.16738	2.65872
0.4616	1.4082	1.47217	1.88931	2.25127	3.0409	2.5494
0.25182	0.78946	0.8571	1.19328	1.82893	2.96422	2.58868
0.19002	0.64019	0.74401	1.11913	1.68976	2.83365	2.56313
0.21728	0.66832	0.68448	1.05065	1.64825	2.74896	2.54104
0.28323	0.91439	0.86813	1.21369	1.83434	3.03307	2.54389
0.40186	1.11433	1.20173	1.53751	2.14195	3.06096	2.61074
0.31356	0.92658	0.94359	1.22215	1.78355	2.81868	2.4995
0.36733	1.14911	1.20959	1.66008	2.09079	2.95404	2.56284
0.31634	1.1393	1.14101	1.51624	1.99496	2.917	2.53117
0.38023	0.9498	1.1475	1.48194	2.08365	3.00004	2.57093
0.16885	0.52606	0.66817	1.09547	1.67176	2.84918	2.5927
0.31178	0.9351	0.97245	1.36983	1.90107	2.9235	2.4649
0.22592	0.78049	0.95153	1.33265	1.88797	2.91458	2.63018
0.24877	0.91705	1.01419	1.38087	1.95242	3.02628	2.65751
0.25885	0.78628	0.89515	1.32366	1.92293	2.73775	2.53431
0.29608	0.9062	0.93191	1.35836	1.82403	2.79173	2.51191
0.31175	0.87436	0.95315	1.35851	1.87032	2.9937	2.60146
0.31557	0.95883	0.95877	1.30848	1.89649	2.97623	2.56593
0.29305	0.91603	0.97642	1.29931	1.92532	2.87708	2.48045
0.36378	1.15166	1.10181	1.51439	1.97042	2.99194	2.55288
0.22372	0.67107	0.81096	1.21822	1.85748	2.88241	2.59205
0.26721	0.92166	1.00577	1.33244	1.80999	2.87699	2.55649
0.34611	1.00758	1.10002	1.45848	1.81725	2.85979	2.53767
0.27934	0.94696	0.88876	1.23064	1.8277	2.96469	2.60562
0.3036	0.90104	0.95817	1.44448	2.10416	3.10049	2.66576
0.24827	0.75251	0.80061	1.1789	1.67548	2.80629	2.54388
0.36772	1.0963	1.25637	1.63614	2.07239	3.08142	2.59129
0.29073	1.03783	1.18273	1.65485	2.10782	3.05466	2.61682
0.2934	0.88503	0.97543	1.40755	1.8593	2.84679	2.57433
0.3084	0.98936	1.10114	1.514	2.0525	2.96062	2.53306
0.25122	0.72738	0.8228	1.30258	1.95226	3.03058	2.64025
0.27986	0.92695	0.86527	1.21911	1.79726	2.92702	2.55589
